"full_name","pdes","a","e","i","om","w","ma","epoch_mjd"
"    90 Antiope (A866 TA)",90,3.152717291354109,.1689474249023448,2.207321790851504,69.92559353876216,245.2391305008574,66.9910757551762,60200
"    91 Aegina (A866 VA)",91,2.589433057117714,.1073193273444497,2.102979535491817,10.4305381359711,74.36838587586364,185.032816499508,60200
"    92 Undina (A867 NA)",92,3.184970754234543,.1052973224670413,9.922779795007134,101.3955489773897,237.0465676531295,98.99624382463159,60200
"    93 Minerva (A867 QA)",93,2.758802214442666,.1399865743929847,8.549380383437638,4.009321179832154,275.6788804225097,100.8517429638972,60200
"    94 Aurora (A867 RA)",94,3.155319374422069,.09548649294295226,7.970850349540892,2.546081954060942,60.27583357494317,230.1184164544109,60200
"    95 Arethusa (A867 WA)",95,3.067464560496775,.1537237844816986,13.00560611894746,242.933963534758,153.11018416,8.91543751448193,60200
"    96 Aegle (A868 DA)",96,3.050658372150893,.1416776459558467,15.97872734982294,321.4864863887289,208.0587253026863,41.02527700723079,60200
"    97 Klotho (A868 DB)",97,2.668234088462733,.2580616689125241,11.77838061055084,159.6200463402085,268.4780037968244,313.0831199446705,60200
"    98 Ianthe (A868 HA)",98,2.686739485141771,.1875294862038407,15.576263400716,353.8927135579477,158.3479755927739,124.0548662626707,60200
"    99 Dike (A868 KA)",99,2.662325434785976,.1974149261012217,13.86500853724028,41.40756280206766,195.5587015677178,247.0787957812836,60200
"   100 Hekate (A868 NA)",100,3.087842266309122,.1685091756913913,6.432382257946169,127.1723548471528,183.7720954401074,177.7971026917799,60200
"   101 Helena (A868 PA)",101,2.58226901335828,.1410655540030739,10.19505003556152,343.3688403485227,347.8931372710956,133.5755577865046,60200
"   102 Miriam (A868 QA)",102,2.663106996536949,.2509737581278057,5.17426618825145,210.7660664507175,147.2645435849394,253.9036291556336,60200
"   103 Hera (A868 RA)",103,2.701421512986309,.0791087471343685,5.418776767966327,136.067456018566,189.4427006954779,349.1371578659415,60200
"   104 Klymene (A868 RB)",104,3.145050655786848,.1620353360106505,2.789815161990125,41.65843716394514,31.67748844474676,201.0220874702964,60200
"   105 Artemis (A868 SA)",105,2.372172493636429,.1789071566461624,21.45592587432219,188.2203658990427,57.10326216524636,237.5952916013995,60200
"   106 Dione (A868 TA)",106,3.181805419374755,.1593383015689249,4.575827958487221,61.987568632268,331.5813029514041,141.2720452887629,60200
"   107 Camilla (A868 WA)",107,3.486137839032124,.06531665554528336,10.00466397485213,172.5852208736916,305.2206681676011,209.8994251385198,60200
"   108 Hecuba (A869 GB)",108,3.233428458216945,.0624851031145002,4.209447372877457,349.7562439372664,212.5870224871094,237.9228741261134,60200
"   109 Felicitas (A869 TA)",109,2.693451412784836,.3002041310558994,7.845532803617334,2.753665672610731,57.61367864696066,248.335306054078,60200
"   110 Lydia (A870 HA)",110,2.732978524614028,.07973049817103148,5.959868973872305,56.77090813052686,282.23625602,197.0112263568751,60200
"   111 Ate (A870 PA)",111,2.59382588811828,.1029441961169748,4.930999681825611,305.6783543630783,168.2527684154228,82.08261146072188,60200
"   112 Iphigenia (A870 SA)",112,2.432833089451614,.1284810126851418,2.597674615953595,323.3657557446869,16.93459886437043,124.7142188765794,60200
"   113 Amalthea (A871 EA)",113,2.377857483154245,.08555837085541657,5.040107459005618,123.3623850993615,79.60935287380651,205.5934831693061,60200
"   114 Kassandra (A871 OA)",114,2.676641412124782,.1383531100129191,4.944486061307034,164.064928606191,352.6203049413655,61.60959986245234,60200
